"Ссылка","Код","Группа образовательных программ","Балл ЕНТ","Профильные предметы","Программы","Описание"
"https://ksu.edu.kz/enrollee/bakalavriat/6b3/b42/","B042","Журналистика и репортерское дело","50","Эссе, Собеседование","6B03201 Журналистика","По завершению обучения Вы сможете работать: в электронных и печатных СМИ Казахстана и стран СНГ, в национальных и зарубежных информационных агентствах, в пресс-службах государственных, коммерческих, финансовых структур и общественных организаций, в рекламных и PR-агентствах, в сфере SMM."
"https://ksu.edu.kz/enrollee/bakalavriat/6b3/b43/","B043","Библиотечное дело, обработка информации и архивное дело","50","Казахский/ Русский язык, Казахская/Русская литература","6B03202 Архивоведение, документоведение и музейное дело","По завершению обучения Вы сможете работать: в архивах; музеях; городских и областных государственных учрежденихя; научно-исследовательских институтах и организациях; археологических лабораториях; научно-исследовательских институтах; высших учебных заведениях; государственных организациях и средствах массовой информации; акиматах сельских, районных и областных центров; библиотеках; институтах повышения квалификации; органах управления, департаментах; культурно-образовательных центрах, этнических центрах."
"https://ksu.edu.kz/enrollee/bakalavriat/6b4/b44/","В044","Менеджмент и управление","50","Математика, География","6B04101 Экономика; 6B04102 Менеджмент; 6B04105 Государственное и местное управление","По завершению обучения Вы сможете работать: на производственных предприятиях; в налоговых и страховых организациях; в банках и кредитных организациях; в частных компаниях; в учреждениях образования и здравоохранения; на государственной службе."
"https://ksu.edu.kz/enrollee/bakalavriat/6b4/b45/","B045","Аудит и налогообложение","50","Математика, География","6B04103 Учет и аудит; 6В04107 Администрирование и правовое регулирование в сфере налогообложения","По завершению обучения Вы сможете работать: в различных компаниях и организациях, занимающихся бухгалтерским обслуживанием и аудитом компаний различных отраслей; в крупных компаниях, заниматься управленческим учетом, финансовым анализом, аудитом и т.д.; в государственных органах, заниматься контролем за бюджетом, проводить аудит, участвовать в разработке бюджетных программ; в банках, страховых компаниях, инвестиционных фондах."
"https://ksu.edu.kz/enrollee/bakalavriat/6b4/b46/","B046","Финансы, экономика, банковское и страховое дело","50","Математика, География","6B04104 Финансы","По завершению обучения Вы сможете работать: в государственных органах республиканского и территориального уровня: Национальном банке, в экономических службах различных министерств и ведомств,в Агентстве Республики Казахстан по регулированию и развитию финансового рынка, в Агентстве Республики Казахстан по финансовому мониторингу и др.; на производственных предприятиях; в налоговых и страховых организациях; в банках и кредитных организациях; в частных компаниях; в учреждениях образования и здравоохранения."
"https://ksu.edu.kz/enrollee/bakalavriat/6b4/b47/","B047","Маркетинг и реклама","50","Математика, География","6B04106 Маркетинг","В каких организациях может работать маркетолог? В организациях, осуществляющих международную деятельность, В министерствах, В коммерческих банках, В коммерческих предприятиях, В консалтинговых компаниях, В инвестиционных фондах, В страховых компаниях."
"https://ksu.edu.kz/enrollee/bakalavriat/6b4/b49/","B049","Право","75","Всемирная история, Основы права","6B04201 Юриспруденция; 6B04202 Международное право; 6В04203 Судебная и правоохранительная деятельность","По завершению обучения Вы сможете работать: в органах прокуратуры, внутренних дел, антикоррупционной службы, службы экономических расследований, в судебной системе, юрисконсультами, адвокатами, нотариусами, медиаторами, юристами в области казахстанского и международного права, специалистами в кадровой службе, государственными служащими, специалистами по судебному администрированию, сотрудниками правоохранительных и государственных органов, специалистами органов юстиции, местных исполнительных и представительных органов РК."
"https://ksu.edu.kz/enrollee/bakalavriat/6b5/b50/","B050","Биологические и смежные науки","50","Биология, Химия","6B05101 Биология; 6B05102 Биотехнология","По завершению обучения по образовательной программе "" 6B05101 Биология"" Вы сможете работать: в государственных управленческих организациях природных ресурсов и природопользования, акиматах и других учреждениях; в экологических службах и организациях, республиканских природоохранных ведомств; в научно-исследовательских институтах, в санитарно-эпидемиологических станциях; в национальных парках, селекционных центрах, биотехнологических лабораториях, заповедниках, зоопарках, ботанических садах, музеях природы; биологом-исследователем, микробиологом; преподавателем биологии в средних школах, гимназиях, колледжах; специалистом судебно-медицинской экспертизы. По завершению обучения по образовательной программе "" 6В05102 - Биотехнология "" Вы сможете работать: в научно-исследовательских институтах и вузах биотехнологического, биологического, медицинского, сельскохозяйственного профиля; на производственных предприятиях пищевой перерабатывающей, микробиологической и фармацевтической промышленностей; в экологических службах и организациях; в лабораториях по контролю за качеством и безопасностью пищевой, фармацевтической и сельскохозяйственной продукции; в исследовательских лабораториях, селекционных станциях; в организацииях образования."
"https://ksu.edu.kz/enrollee/bakalavriat/6b5/b51/","B051","Окружающая среда","50","Биология, География","6B05201 Экология","По завершению обучения Вы сможете работать: во всех организациях и предприятиях, которые используют природные ресурсы в производственном процессе (будь то вода, воздух, земля, лес и живые организамы) в управлении природных ресурсов и регулирования природопользованием, в департаменте экологии, в Казгидромете, в частных экологических организациях, в общественных организациях, заповедниках."
"https://ksu.edu.kz/enrollee/bakalavriat/6b5/b53/","B053","Химия","50","Химия, Биология","6B05302 Химия","По завершению обучения Вы сможете работать: менеджером в производственной лаборатории; инженером-химиком; сотрудником научно-исследовательских институтов; химиком-технологом; лаборантом; химиком-аналитиком; учителем химии; специалистом судебно-медицинской экспертизы."
